# BugSigDB 2026-01-12_00:01_UTC, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
BSDB ID,Study,Study design,PMID,DOI,URL,Authors list,Title,Journal,Year,Keywords,Experiment,Location of subjects,Host species,Body site,UBERON ID,Condition,EFO ID,Group 0 name,Group 1 name,Group 1 definition,Group 0 sample size,Group 1 sample size,Antibiotics exclusion,Sequencing type,16S variable region,Sequencing platform,Data transformation,Statistical test,Significance threshold,MHT correction,LDA Score above,Matched on,Confounders controlled for,Pielou,Shannon,Chao1,Simpson,Inverse Simpson,Richness,Signature page name,Source,Curated date,Curator,Revision editor,Description,Abundance in Group 1,MetaPhlAn taxon names,NCBI Taxonomy IDs,State,Reviewer
bsdb:26935422/2/1,26935422,"cross-sectional observational, not case-control",26935422,10.1158/1940-6207.CAPR-15-0350,NA,"Piyathilake CJ, Ollberding NJ, Kumar R, Macaluso M, Alvarez RD , Morrow CD",Cervical Microbiota Associated with Higher Grade Cervical Intraepithelial Neoplasia in Women Infected with High-Risk Human Papillomaviruses,"Cancer prevention research (Philadelphia, Pa.)",2016,NA,Experiment 2,United States of America,Homo sapiens,Uterine cervix,UBERON:0000002,Cervical glandular intraepithelial neoplasia,EFO:1000165,<=38.8% 8-OHdG-positive cervical cells,>38.8% 8-OHdG-positive cervical cells,patients with >38.8% of 8-OHdG-positive cervical cells,NA,NA,NA,16S,4,Illumina,relative abundances,LEfSe,0.05,TRUE,2,NA,NA,NA,unchanged,unchanged,NA,NA,NA,Signature 1,Supplemental Figure 2,10 January 2021,Cynthia Anderson,"WikiWorks,ChiomaBlessing",Differentially abundant taxa in >38.8% 8-OHdG-positive cervical cells group VS  <=38.8% 8-OHdG-positive cervical cells group,increased,"k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Agrobacterium,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|s__Azotobacter group,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae",3379134|1224|28211|356|82115|357;3379134|1224|1236|72274|135621|351;3379134|1224|28216;3379134|1224|28216|80840;3379134|1224|28216|80840|80864;3379134|1224|28211|356;3379134|1224|28216|80840|80864|665874;3379134|1224|28216|80840|75682;3379134|1224|28211|204458|76892|20;3379134|1224|1236|72274|135621|286;3379134|1224|28211|356|82115,Complete,Fatima Zohra
bsdb:26935422/2/2,26935422,"cross-sectional observational, not case-control",26935422,10.1158/1940-6207.CAPR-15-0350,NA,"Piyathilake CJ, Ollberding NJ, Kumar R, Macaluso M, Alvarez RD , Morrow CD",Cervical Microbiota Associated with Higher Grade Cervical Intraepithelial Neoplasia in Women Infected with High-Risk Human Papillomaviruses,"Cancer prevention research (Philadelphia, Pa.)",2016,NA,Experiment 2,United States of America,Homo sapiens,Uterine cervix,UBERON:0000002,Cervical glandular intraepithelial neoplasia,EFO:1000165,<=38.8% 8-OHdG-positive cervical cells,>38.8% 8-OHdG-positive cervical cells,patients with >38.8% of 8-OHdG-positive cervical cells,NA,NA,NA,16S,4,Illumina,relative abundances,LEfSe,0.05,TRUE,2,NA,NA,NA,unchanged,unchanged,NA,NA,NA,Signature 2,Supplemental Figure 2,10 January 2021,Cynthia Anderson,"WikiWorks,ChiomaBlessing",Differentially abundant taxa in >38.8% 8-OHdG-positive cervical cells group VS <=38.8% 8-OHdG-positive cervical cells group,decreased,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae,1783272|1239|186801|186802|31979,Complete,Fatima Zohra
bsdb:26935422/3/1,26935422,"cross-sectional observational, not case-control",26935422,10.1158/1940-6207.CAPR-15-0350,NA,"Piyathilake CJ, Ollberding NJ, Kumar R, Macaluso M, Alvarez RD , Morrow CD",Cervical Microbiota Associated with Higher Grade Cervical Intraepithelial Neoplasia in Women Infected with High-Risk Human Papillomaviruses,"Cancer prevention research (Philadelphia, Pa.)",2016,NA,Experiment 3,United States of America,Homo sapiens,Uterine cervix,UBERON:0000002,Cervical glandular intraepithelial neoplasia,EFO:1000165,CIN1,CIN2+,patients with CIN2+ confirmed by colposcopy,90,340,NA,16S,4,Illumina,raw counts,Negative Binomial Regression,0.05,TRUE,NA,NA,NA,NA,unchanged,unchanged,NA,NA,NA,Signature 1,Supplemental Table 2,10 January 2021,Cynthia Anderson,"WikiWorks,ChiomaBlessing",Differentially abundant taxa in CIN2+ group VS CIN1 group,increased,"k__Pseudomonadati|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus reuteri",3379134|74201|203494|48461|1647988|239934|239935;1783272|1239|91061|186826|33958|2742598|1598,Complete,Fatima Zohra
bsdb:26935422/3/2,26935422,"cross-sectional observational, not case-control",26935422,10.1158/1940-6207.CAPR-15-0350,NA,"Piyathilake CJ, Ollberding NJ, Kumar R, Macaluso M, Alvarez RD , Morrow CD",Cervical Microbiota Associated with Higher Grade Cervical Intraepithelial Neoplasia in Women Infected with High-Risk Human Papillomaviruses,"Cancer prevention research (Philadelphia, Pa.)",2016,NA,Experiment 3,United States of America,Homo sapiens,Uterine cervix,UBERON:0000002,Cervical glandular intraepithelial neoplasia,EFO:1000165,CIN1,CIN2+,patients with CIN2+ confirmed by colposcopy,90,340,NA,16S,4,Illumina,raw counts,Negative Binomial Regression,0.05,TRUE,NA,NA,NA,NA,unchanged,unchanged,NA,NA,NA,Signature 2,Supplemental Table 2,10 January 2021,Cynthia Anderson,"WikiWorks,ChiomaBlessing",Differentially abundant taxa in CIN2+ group VS CIN1 group,decreased,"k__Pseudomonadati|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia producta,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens,k__Bacillati|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella aerofaciens,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella melaninogenica,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella copri,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus agalactiae",3379134|74201|203494|48461|1647988|239934|239935;1783272|1239|186801|3085636|186803|572511|33035;1783272|1239|186801|186802|31979|1485|1502;1783272|201174|84998|84999|84107|102106|74426;3379134|976|200643|171549|171552|838|28132;3379134|976|200643|171549|171552|2974251|165179;1783272|1239|91061|186826|1300|1301|1311,Complete,Fatima Zohra
bsdb:26937623/1/1,26937623,"cross-sectional observational, not case-control",26937623,10.1097/MIB.0000000000000684,NA,"Forbes J.D., Van Domselaar G. , Bernstein C.N.",Microbiome Survey of the Inflamed and Noninflamed Gut at Different Compartments Within the Gastrointestinal Tract of Inflammatory Bowel Disease Patients,Inflammatory bowel diseases,2016,NA,Experiment 1,Canada,Homo sapiens,"Cecum mucosa,Colonic mucosa,Mucosa of rectum,Ileal mucosa","UBERON:0000314,UBERON:0000317,UBERON:0003346,UBERON:0000331",Crohn's disease,EFO:0000384,non-inflammatory bowel disease who were undergoing colonoscopy either for screening or for other gastrointestinal complaints unrelated to IBD,non-inflamed crohn's disease,biopsies collected from patients with crohn's disease at colonoscopy that were deemed as non-inflamed as per the clinical pathologist.,7,15,NA,16S,6,Illumina,relative abundances,Kruskall-Wallis,0.05,TRUE,NA,NA,NA,NA,unchanged,unchanged,unchanged,unchanged,unchanged,Signature 1,Table 2,9 November 2023,Yjung24,"Yjung24,WikiWorks","Microbial Distribution of Taxa (Phylum and Genus) Found to Be Differentially Abundant According to Disease and Inflammatory State of Biopsy. ^aP = <0.05, ^bP = <0.01, ^cP = <0.001. Up and down arrows are comparisons to non-IBD.",decreased,"k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter",1783272|1239|186801|3085636|186803|33042;1783272|1239|186801|186802|216572|459786,Complete,Peace Sandy
bsdb:26963804/1/1,26963804,case-control,26963804,10.1080/19490976.2016.1162363,NA,"Fourie NH, Wang D, Abey SK, Sherwin LB, Joseph PV, Rahim-Williams B, Ferguson EG , Henderson WA",The microbiome of the oral mucosa in irritable bowel syndrome,Gut microbes,2016,"irritable bowel syndrome, microbiome, mucosa, oral, overweight, visceral pain",Experiment 1,United States of America,Homo sapiens,Buccal mucosa,UBERON:0006956,Irritable bowel syndrome,EFO:0000555,control,irritable bowel syndrome,IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified,20,9,NA,16S,NA,PhyloChip,raw counts,Welch's T-Test,0.05,FALSE,NA,"age,body weight,race,sex",NA,NA,NA,NA,NA,NA,NA,Signature 1,Figure 6,10 January 2021,Rimsha Azhar,WikiWorks,OTUs showed significant differential abundance between healthy controls and IBS participants,increased,"k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Desulfitobacteriaceae|g__Desulfosporosinus,k__Bacillati|p__Bacillota|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Peptostreptococcus,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Alcaligenes,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria",3379134|976|200643|171549|171552|838;1783272|1239|186801|186802|31979|1485;1783272|1239|186801|186802|2937909|79206;1783272|1239|186801|3082720|186804|1257;3379134|1224|28216|80840|506|507;3379134|1224|28216|80840|119060|32008;3379134|1224|28216|206351|481|482,Complete,Shaimaa Elsafoury
bsdb:26963804/1/2,26963804,case-control,26963804,10.1080/19490976.2016.1162363,NA,"Fourie NH, Wang D, Abey SK, Sherwin LB, Joseph PV, Rahim-Williams B, Ferguson EG , Henderson WA",The microbiome of the oral mucosa in irritable bowel syndrome,Gut microbes,2016,"irritable bowel syndrome, microbiome, mucosa, oral, overweight, visceral pain",Experiment 1,United States of America,Homo sapiens,Buccal mucosa,UBERON:0006956,Irritable bowel syndrome,EFO:0000555,control,irritable bowel syndrome,IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified,20,9,NA,16S,NA,PhyloChip,raw counts,Welch's T-Test,0.05,FALSE,NA,"age,body weight,race,sex",NA,NA,NA,NA,NA,NA,NA,Signature 2,Figure 6,10 January 2021,Rimsha Azhar,WikiWorks,OTUs showed significant differential abundance between healthy controls and IBS participants,decreased,"k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas",1783272|201174|1760|85007|1653|1716;1783272|201174|1760|85009|31957|1743;1783272|1239|91061|186826|1300|1301;3379134|1224|28211|204457|41297|13687;3379134|1224|1236|72274|135621|286,Complete,Shaimaa Elsafoury
bsdb:26963804/2/1,26963804,case-control,26963804,10.1080/19490976.2016.1162363,NA,"Fourie NH, Wang D, Abey SK, Sherwin LB, Joseph PV, Rahim-Williams B, Ferguson EG , Henderson WA",The microbiome of the oral mucosa in irritable bowel syndrome,Gut microbes,2016,"irritable bowel syndrome, microbiome, mucosa, oral, overweight, visceral pain",Experiment 2,United States of America,Homo sapiens,Buccal mucosa,UBERON:0006956,Irritable bowel syndrome,EFO:0000555,control,overweight irritable bowel syndrome,IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified,20,11,NA,16S,NA,PhyloChip,raw counts,Welch's T-Test,0.05,FALSE,NA,"age,body weight,race,sex",NA,NA,NA,NA,NA,NA,NA,Signature 1,Figure 6,10 January 2021,Rimsha Azhar,WikiWorks,OTUs showed significant differential abundance between healthy controls and IBS participants,increased,"k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,k__Bacillati|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium,k__Bacillati|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Caryophanaceae|g__Planomicrobium,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Pseudoramibacter,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Shuttleworthella,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera,k__Bacillati|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|g__Aquabacterium,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Delftia,k__Pseudomonadati|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus",1783272|201174|1760|85007|1653|1716;1783272|201174|1760|85004|31953|1678;1783272|201174|84998|84999|1643824|1380;1783272|201174|84998|84999|1643824|133925;1783272|1239|91061|1385|186817|1386;1783272|1239|91061|1385|186818|162291;1783272|1239|91061|186826|33958|1578;1783272|1239|186801|186802|186806|113286;1783272|1239|186801|3085636|186803|265975;1783272|1239|186801|3085636|186803|177971;1783272|1239|909932|1843489|31977|39948;1783272|1239|909932|1843489|31977|906;1783272|1239|909932|909929|1843491|970;3379134|1224|28216|80840|92793;3379134|1224|28216|80840|80864|80865;3379134|29547|3031852|213849|72294|194;3379134|1224|1236|72274|135621|286;3379134|203691|203692|136|2845253|157;3379134|976|200643|171549|171552|838;1783272|1239|91061|1385|90964|1279,Complete,Shaimaa Elsafoury
bsdb:26963804/2/2,26963804,case-control,26963804,10.1080/19490976.2016.1162363,NA,"Fourie NH, Wang D, Abey SK, Sherwin LB, Joseph PV, Rahim-Williams B, Ferguson EG , Henderson WA",The microbiome of the oral mucosa in irritable bowel syndrome,Gut microbes,2016,"irritable bowel syndrome, microbiome, mucosa, oral, overweight, visceral pain",Experiment 2,United States of America,Homo sapiens,Buccal mucosa,UBERON:0006956,Irritable bowel syndrome,EFO:0000555,control,overweight irritable bowel syndrome,IBS are who suffered from chronic visceral pain and altered bowel habits for more than 6 months for which no organic cause had been identified,20,11,NA,16S,NA,PhyloChip,raw counts,Welch's T-Test,0.05,FALSE,NA,"age,body weight,race,sex",NA,NA,NA,NA,NA,NA,NA,Signature 2,Figure 6,10 January 2021,Rimsha Azhar,WikiWorks,OTUs showed significant differential abundance between healthy controls and IBS participants,decreased,"k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Aestuariimicrobium,k__Pseudomonadati|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium,k__Pseudomonadati|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Haloanella,k__Bacillati|p__Chloroflexota|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae|g__Dehalogenimonas,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus",1783272|201174|1760|85009|31957|396388;3379134|976|117743|200644|2762318|59732;3379134|976|117743|200644|49546|109244;1783272|200795|301297|1202465|1202464|670486;1783272|1239|91061|1385|539738|1378;1783272|1239|91061|186826|1300|1301;3379134|1224|28216|206351|481|482;3379134|1224|1236|135625|712|724;3379134|976|200643|171549|171552|838;1783272|1239|91061|1385|90964|1279,Complete,Shaimaa Elsafoury
bsdb:26971496/1/1,26971496,prospective cohort,26971496,10.1007/s00253-016-7410-2,NA,"Aloisio I, Quagliariello A, De Fanti S, Luiselli D, De Filippo C, Albanese D, Corvaglia LT, Faldella G , Di Gioia D",Evaluation of the effects of intrapartum antibiotic prophylaxis on newborn intestinal microbiota using a sequencing approach targeted to multi hypervariable 16S rDNA regions,Applied microbiology and biotechnology,2016,"16S rDNA hypervariable regions, Gut microbiota, Intrapartum antibiotic prophylaxis, Newborns, Next generation sequencing technology",Experiment 1,Italy,Homo sapiens,Feces,UBERON:0001988,Antimicrobial agent,CHEBI:33281,infants born by mothers negative to GBS,Infants born by mothers positive to GBS and received IAP,Infants of Mothers positive to Streptococcus (GBS) and received intrapartum antibiotic prophylaxis (IAP),10,10,perinatal antibiotics,16S,23456789,Ion Torrent,relative abundances,Mann-Whitney (Wilcoxon),0.05,FALSE,NA,NA,NA,NA,decreased,decreased,NA,NA,decreased,Signature 1,"Table S3, Text",10 January 2021,Mst Afroza Parvin,WikiWorks,Evaluation of microbial genus composition between Control and IAP groups,decreased,"k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae",1783272|201174|1760|85004|31953;3379134|976|200643|171549|815,Complete,Atrayees
bsdb:26971496/2/1,26971496,prospective cohort,26971496,10.1007/s00253-016-7410-2,NA,"Aloisio I, Quagliariello A, De Fanti S, Luiselli D, De Filippo C, Albanese D, Corvaglia LT, Faldella G , Di Gioia D",Evaluation of the effects of intrapartum antibiotic prophylaxis on newborn intestinal microbiota using a sequencing approach targeted to multi hypervariable 16S rDNA regions,Applied microbiology and biotechnology,2016,"16S rDNA hypervariable regions, Gut microbiota, Intrapartum antibiotic prophylaxis, Newborns, Next generation sequencing technology",Experiment 2,Italy,Homo sapiens,Feces,UBERON:0001988,Antimicrobial agent,CHEBI:33281,infants born by mothers negative to GBS,Infants born by mothers positive to GBS and received IAP,Infants of Mothers positive to Streptococcus (GBS) and received intrapartum antibiotic prophylaxis (IAP),10,10,perinatal antibiotics,16S,23456789,Ion Torrent,relative abundances,Mann-Whitney (Wilcoxon),0.05,FALSE,NA,NA,NA,NA,decreased,decreased,NA,NA,decreased,Signature 1,"Table S3, Text",10 January 2021,Mst Afroza Parvin,WikiWorks,Evaluation of microbial genus composition between Control and IAP groups,decreased,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,1783272|201174|1760|85004|31953|1678,Complete,Atrayees
bsdb:26982745/1/1,26982745,"cross-sectional observational, not case-control",26982745,10.1097/MPG.0000000000001186,https://pubmed.ncbi.nlm.nih.gov/26982745/,"Mello CS, Carmo-Rodrigues MS, Filho HB, Melli LC, Tahan S, Pignatari AC , de Morais MB",Gut Microbiota Differences in Children From Distinct Socioeconomic Levels Living in the Same Urban Area in Brazil,Journal of pediatric gastroenterology and nutrition,2016,NA,Experiment 1,Brazil,Homo sapiens,Feces,UBERON:0001988,Socioeconomic status,EXO:0000114,Private school children (High SES),Children living in slum (Low SES),"Children between 5 and 11 years old living in slums in Sao Paulo State, Brazil.",30,100,1 month,16S,NA,RT-qPCR,relative abundances,Mann-Whitney (Wilcoxon),0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,Table 3,11 July 2022,Kaluifeanyi101,"Kaluifeanyi101,Claregrieve1,WikiWorks",Differential microbial abundance between the slum children and children from the private school,increased,"k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia coli,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium,k__Bacillati|p__Bacillota,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp.,k__Methanobacteriati|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii,k__Pseudomonadati|p__Bacteroidota",3379134|1224|1236|91347|543|561|562;1783272|1239|186801|186802|186806|1730;1783272|1239;1783272|1239|91061|186826|33958|1578|1591;3366610|28890|183925|2158|2159|2172|2173;3379134|976,Complete,Claregrieve1
bsdb:26982745/1/2,26982745,"cross-sectional observational, not case-control",26982745,10.1097/MPG.0000000000001186,https://pubmed.ncbi.nlm.nih.gov/26982745/,"Mello CS, Carmo-Rodrigues MS, Filho HB, Melli LC, Tahan S, Pignatari AC , de Morais MB",Gut Microbiota Differences in Children From Distinct Socioeconomic Levels Living in the Same Urban Area in Brazil,Journal of pediatric gastroenterology and nutrition,2016,NA,Experiment 1,Brazil,Homo sapiens,Feces,UBERON:0001988,Socioeconomic status,EXO:0000114,Private school children (High SES),Children living in slum (Low SES),"Children between 5 and 11 years old living in slums in Sao Paulo State, Brazil.",30,100,1 month,16S,NA,RT-qPCR,relative abundances,Mann-Whitney (Wilcoxon),0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,Table 3,11 July 2022,Kaluifeanyi101,"Kaluifeanyi101,Claregrieve1,WikiWorks",Differential microbial abundance between the slum children and children from the private school,decreased,"k__Bacillati|p__Bacillota|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides difficile,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella sp.",1783272|1239|186801|3082720|186804|1870884|1496;1783272|1239|186801|186802|31979|1485|1502;3379134|1224|1236|91347|543|590|599,Complete,Claregrieve1
bsdb:27007700/1/1,27007700,case-control,27007700,10.1089/chi.2015.0194,NA,"Borgo F, Verduci E, Riva A, Lassandro C, Riva E, Morace G , Borghi E",Relative Abundance in Bacterial and Fungal Gut Microbes in Obese Children: A Case Control Study,Childhood obesity (Print),2017,NA,Experiment 1,Italy,Homo sapiens,Feces,UBERON:0001988,Obesity,EFO:0001073,controls,pediatric obese,NA,33,28,previous month,16S,23,RT-qPCR,relative abundances,Mann-Whitney (Wilcoxon),0.05,FALSE,NA,"age,sex",NA,NA,NA,NA,NA,NA,NA,Signature 1,"Text, figure 2",10 January 2021,Marianthi Thomatos,"Fatima,WikiWorks",Relative abundance of bacterial and fungal gut microbes in obese children vs. controls,decreased,"k__Pseudomonadati|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia muciniphila,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium prausnitzii,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces|s__Saccharomyces sp.,k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|s__[Candida] sp. (uncertain placement)",3379134|74201|203494|48461|1647988|239934|239935;3379134|976|200643|171549|815|816;1783272|1239|186801|186802|216572|216851|853;3379134|976|200643|171549|171552|838;4751|4890|4891|4892|4893|4930|4935;4751|4890|4891|4892|1853550,Complete,Fatima
