# BugSigDB 2021-08-22, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
Study	Study design	PMID	DOI	URL	Authors	Title	Journal	Year	Experiment	Location of subjects	Host species	Body site	Condition	Group 0 name	Group 1 name	Group 1 definition	Group 0 sample size	Group 1 sample size	Antibiotics exclusion	Sequencing type	16s variable region	Sequencing platform	Statistical test	Significance threshold	MHT correction	LDA Score above	Matched on	Confounders controlled for	Pielou	Shannon	Chao1	Simpson	Inverse Simpson	Richness	Signature page name	Source	Curated date	Curator	Revision editor	Description	Abundance in Group 1	MetaPhlAn taxon names	NCBI Taxonomy IDs
Study 1	case-control	28038683	10.1186/s40168-016-0218-6	NA	Peters BA,Dominianni C,Shapiro JA,Church TR,Wu J,Miller G,Yuen E,Freiman H,Lustbader I,Salik J,Friedlander C,Hayes RB,Ahn J	The gut microbiota in conventional and serrated precursors of colorectal cancer	Microbiome	2016	Experiment 7	United States of America	Homo sapiens	feces	adenoma	controls	advanced conventional adenoma cases	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	323	22	NYU included who had not been on long-term antibiotic treatment	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	NA	age,body mass index	NA	decreased	NA	NA	NA	decreased	Signature 2	Supplemental Table S7 + S3	5 September 2018	Marianthi Thomatos	WikiWorks743	Differentially abundant taxa (phylum‐OTU level) between controls and non‐advanced or advanced conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	decreased		
Study 2	case-control	28173873	10.1186/s13073-017-0405-5	NA	Wang H,Funchain P,Bebek G,Altemus J,Zhang H,Niazi F,Peterson C,Lee WT,Burkey BB,Eng C	Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas	Genome medicine	2017	Experiment 1	United States of America	Homo sapiens	oral gland	squamous cell carcinoma	normal adjacent tissues	squamous cell carcinoma tissues	Not stated	121	121	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	TRUE	NA	NA	NA	NA	unchanged	NA	NA	NA	NA	Signature 1	Figure 3 +text	5 September 2018	Nidhi Saini	WikiWorks743	Significant taxa by Wilcoxon signed-rank in paired tumor and normal tissue. Box plots representing relative abundances of taxa observed to be significantly different between tumor (orange) and adjacent normal (blue) samples by paired Wilcoxon signed-rank testing after correction for FDR.	increased		
Study 2	case-control	28173873	10.1186/s13073-017-0405-5	NA	Wang H,Funchain P,Bebek G,Altemus J,Zhang H,Niazi F,Peterson C,Lee WT,Burkey BB,Eng C	Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas	Genome medicine	2017	Experiment 1	United States of America	Homo sapiens	oral gland	squamous cell carcinoma	normal adjacent tissues	squamous cell carcinoma tissues	Not stated	121	121	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	TRUE	NA	NA	NA	NA	unchanged	NA	NA	NA	NA	Signature 2	Figure 3 +text	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Significant taxa by Wilcoxon signed-rank in paired tumor and normal tissue. Box plots representing relative abundances of taxa observed to be significantly different between tumor (orange) and adjacent normal (blue) samples by paired Wilcoxon signed-rank testing after correction for FDR.	decreased		
Study 2	case-control	28173873	10.1186/s13073-017-0405-5	NA	Wang H,Funchain P,Bebek G,Altemus J,Zhang H,Niazi F,Peterson C,Lee WT,Burkey BB,Eng C	Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas	Genome medicine	2017	Experiment 2	United States of America	Homo sapiens	oral gland	squamous cell carcinoma	T0-T2 low tumor stages patients	T3-T4 high tumor stages patients	Not stated	NA	NA	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 4 +text	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.	increased		
Study 2	case-control	28173873	10.1186/s13073-017-0405-5	NA	Wang H,Funchain P,Bebek G,Altemus J,Zhang H,Niazi F,Peterson C,Lee WT,Burkey BB,Eng C	Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas	Genome medicine	2017	Experiment 2	United States of America	Homo sapiens	oral gland	squamous cell carcinoma	T0-T2 low tumor stages patients	T3-T4 high tumor stages patients	Not stated	NA	NA	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 4 +text	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.	decreased		
Study 2	case-control	28173873	10.1186/s13073-017-0405-5	NA	Wang H,Funchain P,Bebek G,Altemus J,Zhang H,Niazi F,Peterson C,Lee WT,Burkey BB,Eng C	Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas	Genome medicine	2017	Experiment 3	United States of America	Homo sapiens	oral gland	squamous cell carcinoma	T0-T2 stages patients	T3-T4 stages patients	Not stated	NA	NA	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 4 +text	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.	increased		
Study 2	case-control	28173873	10.1186/s13073-017-0405-5	NA	Wang H,Funchain P,Bebek G,Altemus J,Zhang H,Niazi F,Peterson C,Lee WT,Burkey BB,Eng C	Microbiomic differences in tumor and paired-normal tissue in head and neck squamous cell carcinomas	Genome medicine	2017	Experiment 3	United States of America	Homo sapiens	oral gland	squamous cell carcinoma	T0-T2 stages patients	T3-T4 stages patients	Not stated	NA	NA	NA	16S	NA	RT-qPCR	Mann-Whitney (Wilcoxon)	0.05	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 4 +text	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Relative abundances of differentially represented taxa stratified by T-stage. Box plots representing relative abundances of phylum Actinobacteria (top), genus Actinomyces (middle), and genus Parvimonas (bottom) stratified by T-stage.	decreased		
Study 3	case-control	27015276	10.1371/journal.pone.0152126	NA	Sinha R,Ahn J,Sampson JN,Shi J,Yu G,Xiong X,Hayes RB,Goedert JJ	Fecal Microbiota, Fecal Metabolome, and Colorectal Cancer Interrelations	PloS one	2016	Experiment 1	United States of America	Homo sapiens	feces	colorectal cancer	controls	adenocarcinoma of colon and rectum patients	Not stated	89	42	NA	16S	NA	Roche454	Logistic Regression	0.05	FALSE	NA	body mass index	age,body mass index	NA	NA	NA	NA	NA	NA	Signature 1	Table 2	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Fecal microbes independently associated with colorectal cancer	increased		
Study 3	case-control	27015276	10.1371/journal.pone.0152126	NA	Sinha R,Ahn J,Sampson JN,Shi J,Yu G,Xiong X,Hayes RB,Goedert JJ	Fecal Microbiota, Fecal Metabolome, and Colorectal Cancer Interrelations	PloS one	2016	Experiment 1	United States of America	Homo sapiens	feces	colorectal cancer	controls	adenocarcinoma of colon and rectum patients	Not stated	89	42	NA	16S	NA	Roche454	Logistic Regression	0.05	FALSE	NA	body mass index	age,body mass index	NA	NA	NA	NA	NA	NA	Signature 2	Table 2	10 January 2021	Nidhi Saini	WikiWorks743	Fecal microbes independently associated with colorectal cancer	decreased		
Study 4	case-control	27625705	10.1186/s13099-016-0124-2	NA	Aly AM,Adel A,El-Gendy AO,Essam TM,Aziz RK	Gut microbiome alterations in patients with stage 4 hepatitis C	Gut pathogens	2016	Experiment 1	Egypt	Homo sapiens	feces	NA	male healthy controls	HCV stage 4 male patients	Not stated	8	6	3 months	16S	NA	Illumina	LEfSe	0.1	FALSE	2	NA	NA	NA	decreased	decreased	decreased	NA	NA	Signature 1	Table 2 and Fig 5	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Genera that are statistically signifcantly diferent between the two groups hcv patients and healthy participants  (non-parametric t test). All participants were male.	increased		
Study 4	case-control	27625705	10.1186/s13099-016-0124-2	NA	Aly AM,Adel A,El-Gendy AO,Essam TM,Aziz RK	Gut microbiome alterations in patients with stage 4 hepatitis C	Gut pathogens	2016	Experiment 1	Egypt	Homo sapiens	feces	NA	male healthy controls	HCV stage 4 male patients	Not stated	8	6	3 months	16S	NA	Illumina	LEfSe	0.1	FALSE	2	NA	NA	NA	decreased	decreased	decreased	NA	NA	Signature 2	Table 2 and Fig 5	10 January 2021	Shaimaa Elsafoury	WikiWorks743	Genera that are statistically signifcantly diferent between the two groups hcv patients and healthy participants  (non-parametric t test). All participants were male.	decreased		
Study 5	case-control	23071781	10.1371/journal.pone.0047305	NA	Pragman AA,Kim HB,Reilly CS,Wendt C,Isaacson RE	The lung microbiome in moderate and severe chronic obstructive pulmonary disease	PloS one	2012	Experiment 1	United States of America	Homo sapiens	lung	chronic obstructive pulmonary disease	controls	Chronic obstructive pulmonary disease	Not stated	10	22	2 months	16S	NA	Roche454	Mann-Whitney (Wilcoxon)	0.1	TRUE	NA	NA	age	NA	unchanged	NA	unchanged	NA	NA	Signature 1	Table 2	10 September 2018	Fatima Zohra	Fatima,Lwaldron,WikiWorks743	Metastats Analysis of Differential Abundance of moderate and severe COPD Lung microbiome compared to controls	increased		
Study 5	case-control	23071781	10.1371/journal.pone.0047305	NA	Pragman AA,Kim HB,Reilly CS,Wendt C,Isaacson RE	The lung microbiome in moderate and severe chronic obstructive pulmonary disease	PloS one	2012	Experiment 1	United States of America	Homo sapiens	lung	chronic obstructive pulmonary disease	controls	Chronic obstructive pulmonary disease	Not stated	10	22	2 months	16S	NA	Roche454	Mann-Whitney (Wilcoxon)	0.1	TRUE	NA	NA	age	NA	unchanged	NA	unchanged	NA	NA	Signature 2	Table 2	10 September 2018	Fatima Zohra	WikiWorks743	Metastats Analysis of Differential Abundance of moderate and severe COPD Lung microbiome compared to controls	decreased		
Study 5	case-control	23071781	10.1371/journal.pone.0047305	NA	Pragman AA,Kim HB,Reilly CS,Wendt C,Isaacson RE	The lung microbiome in moderate and severe chronic obstructive pulmonary disease	PloS one	2012	Experiment 2	United States of America	Homo sapiens	lung	chronic obstructive pulmonary disease	moderate Chronic obstructive pulmonary disease	Severe	Not stated	8	14	2 months	16S	NA	Roche454	Mann-Whitney (Wilcoxon)	0.1	TRUE	NA	NA	age	NA	unchanged	NA	unchanged	NA	NA	Signature 1	Table 2	8 July 2019	Shaimaa Elsafoury	WikiWorks743	Metastats Analysis of Differential Abundance of moderate and severe COPD Lung microbiome compared to controls	increased		
Study 6	prospective cohort	28467925	10.1016/j.cmet.2017.04.001	NA	Loomba R,Seguritan V,Li W,Long T,Klitgord N,Bhatt A,Dulai PS,Caussy C,Bettencourt R,Highlander SK,Jones MB,Sirlin CB,Schnabl B,Brinkac L,Schork N,Chen CH,Brenner DA,Biggs W,Yooseph S,Venter JC,Nelson KE	Gut Microbiome-Based Metagenomic Signature for Non-invasive Detection of Advanced Fibrosis in Human Nonalcoholic Fatty Liver Disease	Cell metabolism	2017	Experiment 1	United States of America	Homo sapiens	feces	non-alcoholic fatty liver disease	mild/moderate fibrosis	advanced fibrosis	Based on clinical, magnetic resonance, histology assessment; Mild/Moderate NAFLD: fibrosis 0-2. Advanced NAFLD: fibrosis 3-4	72	14	NA	WMS	NA	Illumina	Random Forest Analysis	0.05	TRUE	NA	NA	age,body mass index	NA	NA	NA	NA	NA	NA	Signature 1	Table 3	10 January 2021	Shaimaa Elsafoury	Lwaldron,WikiWorks743	relative abundances of top 4 phyla found in all samples and representative species from the first 3 phyla.	decreased		
Study 7	case-control	20603222	10.1016/j.anaerobe.2010.06.008	NA	Finegold SM,Dowd SE,Gontcharova V,Liu C,Henley KE,Wolcott RD,Youn E,Summanen PH,Granpeesheh D,Dixon D,Liu M,Molitoris DR,Green JA	Pyrosequencing study of fecal microflora of autistic and control children	Anaerobe	2010	Experiment 1	United States of America	Homo sapiens	feces	autism	non-sibling control	severely autistic	Cases were diagnosed with autistic spectrum disorder. Moreover, they were evaluated for autism and their diagnoses were validated based on impairment in social skills, impairment in language skills and verbal communication, sensory disturbances, repetitive stereotypical behaviors, and gastrointestinal disturbances.	8	11	within preceding month	16S	NA	Roche454	T-Test	0.05	FALSE	NA	NA	NA	NA	NA	increased	NA	NA	increased	Signature 1	Table 2 + Table 3 +  Table 5 + Table 6 + Table 8	11 September 2018	Marianthi Thomatos	WikiWorks743	Significant fecal microflora of autistic and control children	increased		
